Device : ServiceWatch
Truck/Trailer ID: ee700187
Serial Number: A06935012373T1
Unit Serial Number: 0000006001127950
Software Version: D030
Temperature: °C
Pressure: Bar

Time,Setpoint,Return Control,Discharge Control,Coil,Ambient,Spare-1,Op Mode,Fuel Level,
4/18/2013 15:02,	-23.3,	-13.2,	22.7,	18.3,	6.3,	-----,"Diesel, Cycle-Sentry, High Cool",	40
4/18/2013 15:10,	-23.3,	-21.5,	-26.2,	-24.8,	9.1,	-----,"Diesel, Cycle-Sentry, Cool",	40
4/18/2013 15:15,	-23.3,	-23.4,	-28.6,	-26.1,	8.5,	-----,"Diesel, Cycle-Sentry, Null",	40
4/18/2013 15:28,	-23.3,	-20.6,	-22.4,	-23.6,	6,	-----,"Start, Diesel, Cycle-Sentry",	40
4/18/2013 15:29,	-23.3,	-20.3,	-22.1,	-22.8,	6.3,	-----,"Diesel, Cycle-Sentry, Cool",	40
4/18/2013 15:35,	-23.3,	-23.4,	-29,	-26.2,	7.8,	-----,"Diesel, Cycle-Sentry, Null",	40
4/18/2013 15:50,	-23.3,	-20.6,	-22.3,	-23.7,	4.5,	-----,"Start, Diesel, Cycle-Sentry",	40
4/18/2013 15:51,	-23.3,	-20.3,	-22.1,	-22.9,	4.5,	-----,"Diesel, Cycle-Sentry, Cool",	40
4/18/2013 15:57,	-23.3,	-23.4,	-28.9,	-26.4,	6.7,	-----,"Diesel, Cycle-Sentry, Null",	40
4/18/2013 16:12,	-23.3,	-20.7,	-22.2,	-23.3,	4.2,	-----,"Diesel, Cycle-Sentry, Null",	40
4/18/2013 16:14,	-23.3,	-20.6,	-21.4,	-22.7,	4.4,	-----,"Start, Diesel, Cycle-Sentry",	40
4/18/2013 16:15,	-23.3,	-20.3,	-21.3,	-22.1,	4.4,	-----,"Diesel, Cycle-Sentry, Cool",	40
4/18/2013 16:21,	-23.3,	-23.4,	-29.2,	-26.4,	5.8,	-----,"Diesel, Cycle-Sentry, Null",	40
4/18/2013 16:36,	-23.3,	-20.7,	-22.5,	-23.9,	3.4,	-----,"Diesel, Cycle-Sentry, Null",	40
4/18/2013 16:37,	-23.3,	-20.6,	-22.2,	-23.7,	3.4,	-----,"Start, Diesel, Cycle-Sentry",	40
4/18/2013 16:38,	-23.3,	-20.3,	-22.1,	-23,	3.6,	-----,"Diesel, Cycle-Sentry, Cool",	40
4/18/2013 16:44,	-23.3,	-23.4,	-29.1,	-26.4,	5.9,	-----,"Diesel, Cycle-Sentry, Null",	40
4/18/2013 16:59,	-23.3,	-20.6,	-22.4,	-23.6,	3,	-----,"Diesel, Cycle-Sentry, Null",	40
4/18/2013 17:00,	-23.3,	-20.6,	-22.2,	-23.5,	3.1,	-----,"Start, Diesel, Cycle-Sentry",	40
4/18/2013 17:01,	-23.3,	-20.3,	-22.1,	-22.8,	3.5,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 17:07,	-23.3,	-23.4,	-29.1,	-26.5,	6.7,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 17:22,	-23.3,	-20.8,	-22.4,	-23.4,	3.3,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 17:24,	-23.3,	-20.6,	-21.5,	-22.7,	3.2,	-----,"Start, Diesel, Cycle-Sentry",	35
4/18/2013 17:25,	-23.3,	-20.3,	-21.5,	-22.2,	3.3,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 17:31,	-23.3,	-23.4,	-29.2,	-26.5,	5.8,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 17:46,	-23.3,	-20.6,	-22.5,	-23.7,	3.4,	-----,"Start, Diesel, Cycle-Sentry",	35
4/18/2013 17:47,	-23.3,	-20.4,	-22.4,	-23.1,	3.8,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 17:53,	-23.3,	-23.4,	-29.2,	-26.6,	6.8,	-----,"Diesel, Cycle-Sentry, Null",	35
