Device : CargoWatch
Truck/Trailer ID: 1110SP
Serial Number: 002131510350T2
Unit Serial Number: 0000005001175486
Software Version: 6512
Temperature: °C
Pressure: Bar

Time,Setpoint Temperature,Logger Sensor 1,Op Mode Zone-1,Setpoint Temperature 2,Logger Sensor 2,Op Mode Zone-2,Logger Sensor 3,Logger Sensor 4,Op Mode,
4/18/2011 05:03,	Spare Digital Input 1: 1.0
4/18/2011 05:03,	Power up
4/18/2011 05:03,	,	10.9,	,	,	10.9,	,	11.6,	10.7
4/18/2011 05:03,	Setpoint Temperature: 3.0
4/18/2011 05:03,	Door Switch Feedback: CLOSE
4/18/2011 05:03,	Setpoint Temperature 2: 1.0
4/18/2011 05:03,	Door Switch Feedback 2: CLOSE
4/18/2011 05:18,	3,	3.2,	Heat,	1,	3.8,	Off,	10.3,	8.8,"Diesel, Continuous"
4/18/2011 05:33,	3,	3.7,	Heat,	1,	3.6,	Off,	8.6,	7.5,"Diesel, Continuous"
4/18/2011 05:48,	3,	3.4,	Cool,	1,	3.2,	Off,	8.1,	7.3,"Diesel, Continuous"
4/18/2011 06:03,	3,	3.4,	Heat,	1,	3.3,	Off,	7.8,	7,"Diesel, Continuous"
4/18/2011 06:18,	3,	7.8,	High Cool,	1,	3.6,	Off,	7.6,	6.9,"Diesel, Continuous"
4/18/2011 06:33,	3,	8.8,	High Cool,	1,	3.7,	Off,	7.4,	6.5,"Diesel, Continuous"
4/18/2011 06:48,	3,	3.8,	High Cool,	1,	2.8,	Off,	7.8,	6.7,"Diesel, Continuous"
4/18/2011 07:03,	3,	6,	High Cool,	1,	3.6,	Off,	7.5,	6.7,"Diesel, Continuous"
4/18/2011 07:18,	3,	5.7,	Cool,	1,	3.8,	Off,	7.8,	7.3,"Diesel, Continuous"
4/18/2011 07:33,	3,	6.7,	High Cool,	1,	3.7,	Off,	8.1,	7,"Diesel, Continuous"
4/18/2011 07:48,	3,	6.7,	High Cool,	1,	3.1,	Off,	7.9,	6.4,"Diesel, Continuous"
