Time,Return Zone-1,Discharge Zone-1,Coil Zone-1 ,Ambient    ,Spare-1    ,Spare-2    ,Spare-3,Return Zone-2,Discharge Zone-2,Coil Zone-2,Setpoint Zone-1,Setpoint Zone-2,Unit Operating Mode,Op Mode Zone-1,Op Mode Zone-2
28/07/2020 13.07,Clock Set,,,,,,,,,,,,,,
28/07/2020 13.07,-2.9,3.4,-1.7,14.8,-----,-----,-----,10,10.6,14,2,-22," Start,  Diesel, Continuous", Heat, Cool
28/07/2020 13.08,Setpoint Zone-2: -25.0,,,,,,,,,,,,,,
28/07/2020 13.08,-2.7,2.4,-1.6,14.7,-----,-----,-----,,,,2,-25,, Heat,
28/07/202013.08,Setpoint Zone-1     : -25.0,,,,,,,,,,,,,,
28/07/2020 13.08,,,,,,,,10.2,10.8,14.1,-25,-25," Start,  Diesel, Continuous",, Cool
28/07/2020 13.09,-4,-2.6,-3.1,14.9,-----,-----,-----,9.3,6.3,10.5,-25,-25," Diesel, Continuous", Cool, Cool
28/07/2020 13.10,-6.7,-7,-7.2,15.8,-----,-----,-----,5.2,1.7,5.1,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28/07/2020 13.11,-10.1,-11,-11.2,16.1,-----,-----,-----,1.5,-1.3,1.2,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28/07/2020 13.12,-12.3,-13.3,-13.5,16.9,-----,-----,-----,-1.3,-4,-1.6,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28/07/2020 13.13,-13.8,-14.8,-14.9,16.9,-----,-----,-----,-3.4,-6.3,-4,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28/07/2020 13.14,-14.9,-15.8,-15.8,17.3,-----,-----,-----,-5.1,-7.9,-5.8,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28/07/2020 13.15,-15.8,-16.5,-16.6,17.7,-----,-----,-----,-6.4,-9.1,-7.3,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28/07/2020 13.16,-16.3,-17,-17.2,17.6,-----,-----,-----,-7.5,-10.1,-8.5,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28/07/2020 13.17,-16.9,-17.5,-17.7,17.3,-----,-----,-----,-8.6,-11,-9.5,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.18,-17.4,-17.9,-18.1,17.3,-----,-----,-----,-9.4,-11.7,-10.3,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.19,-17.8,-18.4,-18.6,17.2,-----,-----,-----,-9.9,-12.7,-11.3,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.20,-18.2,-18.8,-19,17,-----,-----,-----,-10.4,-13.5,-12.3,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.21,-18.6,-19.1,-19.4,17.3,-----,-----,-----,-10.9,-14,-13,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.22,-18.9,-19.4,-19.7,17.3,-----,-----,-----,-11.3,-14.4,-13.6,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.23,-19.2,-19.7,-20,16.8,-----,-----,-----,-11.8,-14.8,-14.1,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.24,-19.5,-20,-20.3,16.7,-----,-----,-----,-12.3,-15.2,-14.6,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.25,-19.7,-20.3,-20.5,16.6,-----,-----,-----,-12.7,-15.5,-15,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.26,-19.9,-20.4,-20.7,17.3,-----,-----,-----,-13.1,-15.8,-15.4,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.27,-20.2,-20.6,-20.9,16.9,-----,-----,-----,-13.3,-16,-15.7,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.28,-20.1,-20.7,-21.1,16.8,-----,-----,-----,-13.6,-16.3,-16,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.29,-19.8,-20.6,-21.1,16.9,-----,-----,-----,-13.9,-16.4,-16.2,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.30,-19.7,-20.6,-21.2,17.4,-----,-----,-----,-14.1,-16.6,-16.4,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.31,-19.7,-20.7,-21.2,17.5,-----,-----,-----,-14.3,-16.8,-16.6,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.32,-19.8,-20.8,-21.1,18.3,-----,-----,-----,-14.6,-16.9,-16.8,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.33,-19.8,-20.8,-21,18.6,-----,-----,-----,-14.8,-17.1,-17,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.34,-20,-20.8,-21,19.1,-----,-----,-----,-15.1,-17.3,-17.2,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.35,-20,-20.8,-20.9,19.4,-----,-----,-----,-15.3,-17.4,-17.3,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.36,-20,-20.8,-20.9,19.4,-----,-----,-----,-15.4,-17.5,-17.5,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.37,-20,-20.8,-20.9,19.8,-----,-----,-----,-15.6,-17.7,-17.6,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.38,-20,-20.8,-20.9,19.6,-----,-----,-----,-15.8,-17.8,-17.7,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.39,-20,-20.9,-20.9,21.1,-----,-----,-----,-16.1,-18.1,-17.9,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.40,-20,-20.9,-20.9,22.3,-----,-----,-----,-16.2,-18.3,-18,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.41,-20,-20.8,-20.7,24.8,-----,-----,-----,-16.4,-18.4,-18.2,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.42,-20,-20.8,-20.6,21.7,-----,-----,-----,-16.5,-18.5,-18.3,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.43,-20.1,-21,-20.8,20.3,-----,-----,-----,-16.7,-18.6,-18.4,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.44,-20.3,-21,-20.9,20.1,-----,-----,-----,-16.7,-18.7,-18.6,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.45,-20.3,-21.1,-20.9,19.1,-----,-----,-----,-16.8,-18.8,-18.7,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.46,-20.3,-21.2,-20.9,19.5,-----,-----,-----,-17,-19,-18.8,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.47,-20.3,-21.1,-20.8,19.1,-----,-----,-----,-17.1,-19.1,-19,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.48,-20.4,-21.2,-20.7,19.3,-----,-----,-----,-17.2,-19.3,-19.1,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.49,-20.4,-21.2,-20.7,19,-----,-----,-----,-17.4,-19.3,-19.2,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.50,-20.3,-21.2,-20.8,19.8,-----,-----,-----,-17.5,-19.5,-19.3,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.51,-20.4,-21,-20.7,22,-----,-----,-----,-17.6,-19.6,-19.4,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.52,-20.4,-20.9,-20.4,21.2,-----,-----,-----,-17.7,-19.6,-19.5,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.53,-20.4,-21,-20.5,21,-----,-----,-----,-17.8,-19.6,-19.5,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
28.07.2020 13.54,-20.3,-21.1,-20.7,20.3,-----,-----,-----,-17.9,-19.8,-19.6,-25,-25," Diesel, Continuous,  High Speed", Cool, Cool
